
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
2021.04.23 11:18:48  37.5217   30.0197        7.1      -.-  2.8  -.-   KOCAPINAR-(BURDUR)                                İlksel
2021.04.23 10:31:53  39.2980   28.0193        7.3      -.-  1.8  -.-   CAKILLI-SINDIRGI (BALIKESIR)                      İlksel
2021.04.23 10:28:39  36.4127   27.1490       12.6      -.-  2.3  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 09:31:44  36.4482   26.9077       18.9      -.-  2.2  -.-   AKDENIZ                                           İlksel
2021.04.23 09:27:57  38.2702   38.8850       15.8      -.-  2.2  -.-   BAKIMLI-PUTURGE (MALATYA)                         İlksel
2021.04.23 09:22:41  39.5195   39.7337        5.0      -.-  2.6  -.-   KALECIK-(ERZINCAN)                                İlksel
2021.04.23 09:16:04  37.9073   27.0390       14.9      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.23 09:13:38  40.3707   27.6143       12.1      -.-  2.8  -.-   ERDEK KORFEZI (MARMARA DENIZI)                    İlksel
2021.04.23 09:13:02  36.4328   27.0610        7.6      -.-  2.9  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 08:30:21  36.3898   27.0432        8.9      -.-  2.0  -.-   AKDENIZ                                           İlksel
2021.04.23 07:55:28  37.9133   26.8915       17.3      -.-  1.5  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2021.04.23 07:46:09  36.4227   27.1670        8.5      -.-  3.2  3.2   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 07:43:30  36.4555   27.1383        5.1      -.-  3.1  3.2   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 07:36:08  36.5252   27.2037        2.5      -.-  2.1  -.-   ONIKI ADALAR (AKDENIZ)                            İlksel
2021.04.23 07:34:50  38.2665   38.7332        5.4      -.-  2.1  -.-   BALPINARI-PUTURGE (MALATYA)                       İlksel
2021.04.23 07:17:57  40.1450   31.7127        1.4      -.-  1.9  -.-   ULUKOY-NALLIHAN (ANKARA)                          İlksel
